Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
TCS,EQ,15-Dec-2015,2378.45,2378.45,2385,2363.05,2379.5,2375.85,2375.03,567934,1348859151.3,52585
TCS,EQ,16-Dec-2015,2375.85,2384,2414.5,2384,2407.5,2408.4,2402.07,717967,1724609355.8,48074
TCS,EQ,17-Dec-2015,2408.4,2415,2445,2393.35,2434.1,2439.75,2418.57,809422,1957647078.25,46818
TCS,EQ,18-Dec-2015,2439.75,2420,2434.2,2400.65,2409.8,2416.8,2416.02,1512485,3654197886.25,47644
TCS,EQ,21-Dec-2015,2416.8,2419.95,2450,2406.85,2443,2446.4,2428.4,805052,1954988970.35,41004
TCS,EQ,22-Dec-2015,2446.4,2440,2440,2400,2407,2405.05,2413.33,780429,1883430362.6,30995
TCS,EQ,23-Dec-2015,2405.05,2415,2435,2410.55,2418.8,2425.8,2425.06,424917,1030449350.6,31057
TCS,EQ,24-Dec-2015,2425.8,2421,2438.2,2404,2435,2434.25,2424.03,421580,1021924014.25,21932
TCS,EQ,28-Dec-2015,2434.25,2428,2466.4,2420.2,2456.95,2462.7,2455,1852099,4546895664,43390
TCS,EQ,29-Dec-2015,2462.7,2458.35,2465.3,2445.75,2449.35,2455.8,2452.26,854262,2094875086.5,26975
TCS,EQ,30-Dec-2015,2455.8,2453.05,2459,2412.3,2421.7,2418.3,2442.06,802881,1960681996.9,49464
TCS,EQ,31-Dec-2015,2418.3,2415.75,2448.5,2407.5,2430,2436.85,2428.9,620159,1506302587.2,42600
TCS,EQ,01-Jan-2016,2436.85,2439,2439,2412.25,2414.1,2416.4,2423.73,356131,863164899.2,15545
TCS,EQ,04-Jan-2016,2416.4,2410.15,2414,2366.05,2373,2369.6,2381.76,935092,2227161314.65,72341
TCS,EQ,05-Jan-2016,2369.6,2385,2386.6,2341,2349.85,2348.95,2353.54,1339010,3151408770.3,97799
TCS,EQ,06-Jan-2016,2348.95,2350.2,2386.15,2350.2,2382,2381.6,2374.18,1326614,3149626909.4,43208
TCS,EQ,07-Jan-2016,2381.6,2370,2382.9,2360,2379,2371.25,2367.71,1599790,3787836766.95,29836
TCS,EQ,08-Jan-2016,2371.25,2385,2407.35,2372.5,2400.8,2397.6,2396.08,953772,2285313566.6,29435
TCS,EQ,11-Jan-2016,2397.6,2382.5,2384,2348.85,2362.8,2362.35,2361.63,1465114,3460058884.1,52084
TCS,EQ,12-Jan-2016,2362.35,2362.7,2365,2301.6,2317,2327.05,2325.68,1741297,4049698909.45,78442
TCS,EQ,13-Jan-2016,2327.05,2317,2327,2255.1,2280,2279.2,2283.97,2373046,5419974451.55,110813
TCS,EQ,14-Jan-2016,2279.2,2273,2298.9,2250,2280.05,2278.8,2280.21,1371026,3126231079.5,68867
TCS,EQ,15-Jan-2016,2278.8,2288.85,2291.7,2255,2265.25,2261.1,2267.74,1634704,3707078050.3,59507
TCS,EQ,18-Jan-2016,2261.1,2262,2291.9,2260,2280,2277.65,2281.48,1106961,2525514822,36247
TCS,EQ,19-Jan-2016,2277.65,2277,2300,2268.3,2288,2279.3,2277.26,483955,1102090046.45,37877
TCS,EQ,20-Jan-2016,2279.3,2273.8,2285,2243,2280,2280.1,2268.32,807977,1832751651.5,47824
TCS,EQ,21-Jan-2016,2280.1,2285,2289.9,2245.75,2258,2254.5,2258.77,1337768,3021715595.6,48506
TCS,EQ,22-Jan-2016,2254.5,2273,2302.05,2260,2290,2295.75,2290.27,671589,1538122117,65671
TCS,EQ,25-Jan-2016,2295.75,2301.9,2339,2291.5,2301.7,2304.65,2317.64,698780,1619518169.25,63300
TCS,EQ,27-Jan-2016,2304.65,2302,2329.95,2281.9,2317,2319.75,2316.74,813493,1884648891.5,37894
TCS,EQ,28-Jan-2016,2319.75,2315.5,2348.9,2308.05,2345,2331.2,2334.21,1553330,3625794748.85,52219
TCS,EQ,29-Jan-2016,2331.2,2358.7,2400,2335.05,2386.1,2391.3,2372.42,1117872,2652057899.65,51641
TCS,EQ,01-Feb-2016,2391.3,2391.1,2412.95,2359,2395.35,2402.7,2402.94,747637,1796523763.2,65836
TCS,EQ,02-Feb-2016,2402.7,2409,2433,2379.7,2382,2398.1,2415.55,737794,1782175428.5,50764
TCS,EQ,03-Feb-2016,2398.1,2387.5,2429.9,2360.3,2424.8,2416.3,2402.39,654346,1571995829.55,35587
TCS,EQ,04-Feb-2016,2416.3,2421.9,2440,2402,2423,2420.05,2419.99,625023,1512552462.75,42532
TCS,EQ,05-Feb-2016,2420.05,2408.1,2439.95,2408.1,2424,2421.95,2425.99,701498,1701826384.1,80411
TCS,EQ,08-Feb-2016,2421.95,2400,2412.05,2347,2354.3,2362.95,2385.01,531829,1268416646.8,29355
TCS,EQ,09-Feb-2016,2362.95,2333.6,2333.6,2255.6,2280.7,2281.4,2276.64,1244805,2833977865.55,74469
TCS,EQ,10-Feb-2016,2281.4,2275,2289.9,2258.1,2283,2268.8,2271.48,945366,2147378289.9,65549
TCS,EQ,11-Feb-2016,2268.8,2280,2289,2171.65,2179.35,2197.95,2231.27,981204,2189332214.9,73416
TCS,EQ,12-Feb-2016,2197.95,2200,2243.4,2164,2226.3,2226.6,2214.47,1086284,2405540712.65,85740
TCS,EQ,15-Feb-2016,2226.6,2250,2306.85,2240,2262,2269.15,2278.07,1239856,2824480330.05,62877
TCS,EQ,16-Feb-2016,2269.15,2266,2282,2243,2262.5,2265.55,2260.28,794351,1795456148.95,40886
TCS,EQ,17-Feb-2016,2265.55,2265,2279.65,2246.4,2279.65,2275.55,2265.3,792589,1795454857.9,36080
TCS,EQ,18-Feb-2016,2275.55,2285,2319.75,2278,2312.1,2315.85,2301.08,764570,1759338646.95,31762
TCS,EQ,19-Feb-2016,2315.85,2307.35,2327,2305.45,2314.9,2319.65,2317.45,439506,1018533549.05,60217
TCS,EQ,22-Feb-2016,2319.65,2320.25,2343,2305,2325,2315.9,2330.06,662442,1543532713.85,49580
TCS,EQ,23-Feb-2016,2315.9,2310.25,2319.9,2256.75,2258.1,2264,2277.26,653426,1488024069.4,42218
